iter	Logloss
0	0.6628238763
1	0.6365533773
2	0.6103075297
3	0.5859633391
4	0.5646351545
5	0.5474996896
6	0.5299675082
7	0.5150851337
8	0.5005152327
9	0.486206562
10	0.4732926108
11	0.4628390242
12	0.452330563
13	0.4438215127
14	0.4346300868
15	0.4261430182
16	0.4183876278
17	0.4107857037
18	0.4042817226
19	0.3981150077
20	0.3925966166
21	0.3867441865
22	0.3818816934
23	0.3777178786
24	0.3732961585
25	0.3695272598
26	0.3664035265
27	0.3634674448
28	0.3602542829
29	0.3581498574
30	0.3549454217
31	0.3521429654
32	0.3494656009
33	0.3475496964
34	0.345333885
35	0.343314259
36	0.341560997
37	0.3393352182
38	0.3379595418
39	0.3359545048
40	0.3345054893
41	0.3327935875
42	0.3318784109
43	0.3303712282
44	0.3291318438
45	0.327837823
46	0.3267932743
47	0.32594759
48	0.3244692604
49	0.3235227288
50	0.3228110986
51	0.3221358429
52	0.3210259809
53	0.3200245445
54	0.3190094814
55	0.3178820541
56	0.3164148683
57	0.3152246572
58	0.3145900385
59	0.31360176
60	0.3127092966
61	0.3115405712
62	0.3105304435
63	0.3097399968
64	0.3091875195
65	0.3087188108
66	0.3075920691
67	0.3066264719
68	0.306085409
69	0.3056208263
70	0.3043525727
71	0.3039027732
72	0.3027562617
73	0.3017000527
74	0.3010798406
75	0.3003522895
76	0.299786209
77	0.299514903
78	0.2991092381
79	0.2983573662
80	0.2978367592
81	0.2971542836
82	0.2967031643
83	0.2961953275
84	0.2950657143
85	0.2943568379
86	0.2938401769
87	0.2933631461
88	0.2929197731
89	0.2923720787
90	0.2919525175
91	0.291586496
92	0.2911932746
93	0.290951243
94	0.2906211247
95	0.2901846357
96	0.2898443506
97	0.2893748271
98	0.2882141437
99	0.2876457099
100	0.2870074009
101	0.2862771452
102	0.2858832276
103	0.2856393175
104	0.2853576899
105	0.2851514859
106	0.2848285839
107	0.2844948519
108	0.2839085886
109	0.2832204143
110	0.2827595492
111	0.2825253043
112	0.2818486406
113	0.2813737845
114	0.2810546022
115	0.2807255679
116	0.2804169314
117	0.2800428611
118	0.2797217273
119	0.2792801231
120	0.2787927104
121	0.2785150747
122	0.2782101832
123	0.2779424364
124	0.2775090574
125	0.2772200861
126	0.276951773
127	0.2764125267
128	0.2760741166
129	0.275606999
130	0.2753092593
131	0.2750472005
132	0.2745375124
133	0.274361287
134	0.2741371205
135	0.2737690374
136	0.2734717908
