iter	Passed	Remaining
0	61	61357
1	69	34706
2	76	25517
3	83	20904
4	93	18517
5	102	17033
6	115	16325
7	125	15573
8	135	14904
9	144	14261
10	154	13880
11	165	13591
12	174	13252
13	185	13069
14	195	12862
15	205	12665
16	216	12492
17	224	12226
18	234	12109
19	245	12044
20	256	11979
21	265	11799
22	275	11696
23	287	11684
24	299	11695
25	309	11598
26	321	11571
27	333	11566
28	342	11461
29	352	11390
30	369	11553
31	385	11650
32	396	11613
33	408	11595
34	418	11538
35	429	11502
36	439	11442
37	449	11379
38	460	11342
39	470	11296
40	482	11274
41	493	11255
42	504	11217
43	515	11206
44	526	11175
45	534	11089
46	546	11080
47	560	11121
48	572	11106
49	583	11081
50	592	11030
51	602	10992
52	613	10962
53	623	10915
54	636	10942
55	645	10888
56	657	10883
57	668	10863
58	682	10887
59	694	10873
60	704	10848
61	715	10828
62	729	10846
63	741	10847
64	751	10808
65	763	10799
66	772	10756
67	781	10709
68	791	10679
69	801	10643
70	813	10648
71	822	10603
72	835	10613
73	845	10584
74	855	10552
75	868	10555
76	876	10504
77	886	10474
78	895	10443
79	908	10443
80	919	10433
81	928	10396
82	938	10365
83	945	10314
84	957	10305
85	966	10268
86	975	10237
87	983	10194
88	994	10175
89	1001	10127
90	1010	10093
91	1022	10094
92	1035	10097
93	1046	10082
94	1059	10095
95	1069	10070
96	1078	10041
97	1087	10009
98	1098	10001
99	1111	10001
100	1120	9973
101	1129	9944
102	1140	9931
103	1149	9906
104	1160	9891
105	1171	9882
106	1181	9856
107	1190	9831
108	1199	9802
109	1209	9786
110	1220	9771
111	1230	9755
112	1237	9717
113	1248	9706
114	1256	9673
115	1266	9650
116	1286	9705
117	1298	9704
118	1309	9694
119	1322	9694
120	1330	9667
121	1339	9639
122	1348	9616
123	1357	9588
124	1367	9570
125	1375	9542
126	1384	9519
127	1394	9498
128	1403	9476
129	1414	9463
130	1427	9466
131	1437	9449
132	1446	9431
133	1456	9412
134	1469	9416
135	1481	9413
136	1491	9394
137	1503	9393
138	1513	9371
139	1523	9358
140	1535	9353
141	1550	9366
142	1562	9364
143	1570	9338
144	1582	9329
145	1591	9309
146	1602	9297
147	1611	9277
148	1620	9253
149	1628	9227
150	1643	9237
151	1654	9229
152	1664	9217
153	1674	9200
154	1686	9193
155	1697	9184
156	1708	9175
157	1722	9181
158	1734	9172
159	1744	9157
160	1752	9133
161	1761	9113
162	1770	9089
163	1780	9077
164	1792	9069
165	1801	9049
166	1810	9030
167	1820	9017
168	1829	8996
169	1840	8985
170	1852	8979
171	1863	8969
172	1872	8951
173	1882	8937
174	1892	8921
175	1902	8906
176	1911	8888
177	1919	8864
178	1928	8843
179	1938	8830
180	1946	8807
181	1957	8798
182	1966	8777
183	1974	8758
184	1985	8746
185	1994	8730
186	2003	8711
187	2014	8699
188	2023	8682
189	2033	8670
190	2043	8654
191	2051	8632
192	2062	8624
193	2074	8616
194	2085	8607
195	2093	8587
196	2104	8578
197	2111	8554
198	2123	8546
199	2131	8526
200	2145	8528
201	2156	8518
202	2168	8515
203	2180	8507
204	2191	8497
205	2208	8513
206	2222	8514
207	2235	8510
208	2250	8518
209	2263	8514
210	2275	8508
211	2288	8507
212	2300	8500
213	2310	8485
214	2320	8471
215	2331	8462
216	2344	8459
217	2354	8446
218	2365	8434
219	2375	8422
220	2384	8403
221	2398	8404
222	2411	8402
223	2424	8398
224	2437	8396
225	2446	8379
226	2454	8357
227	2461	8334
228	2468	8312
229	2476	8289
230	2483	8266
231	2490	8244
232	2497	8221
233	2505	8202
234	2513	8183
235	2522	8167
236	2530	8146
237	2540	8135
238	2550	8122
239	2559	8105
240	2571	8099
241	2580	8082
242	2588	8065
243	2598	8051
244	2605	8030
245	2614	8014
246	2628	8014
247	2639	8004
248	2651	7997
249	2663	7990
250	2672	7974
251	2680	7956
252	2690	7942
253	2698	7924
254	2708	7911
255	2723	7914
256	2733	7901
257	2743	7888
258	2752	7876
259	2761	7858
260	2771	7847
261	2781	7834
262	2789	7815
263	2798	7800
264	2808	7788
265	2818	7776
266	2827	7763
267	2836	7747
268	2846	7735
269	2858	7728
270	2866	7710
271	2876	7699
272	2887	7688
273	2897	7676
274	2906	7663
275	2917	7654
276	2928	7644
277	2938	7632
278	2949	7622
279	2958	7607
280	2969	7598
281	2981	7590
282	2992	7582
283	3002	7568
284	3012	7558
285	3024	7550
286	3042	7557
287	3055	7553
288	3065	7542
289	3075	7530
290	3088	7524
291	3098	7513
292	3108	7500
293	3118	7489
294	3125	7470
295	3135	7456
296	3142	7439
297	3151	7423
298	3160	7409
299	3169	7395
300	3179	7384
301	3192	7377
302	3200	7362
303	3208	7346
304	3218	7333
305	3226	7317
306	3238	7310
307	3246	7293
308	3255	7279
309	3266	7270
310	3277	7261
311	3287	7248
312	3297	7236
313	3305	7220
314	3315	7210
315	3329	7207
316	3341	7199
317	3353	7192
318	3364	7181
319	3374	7171
320	3387	7165
321	3398	7156
322	3408	7144
323	3417	7131
324	3431	7126
325	3440	7113
326	3451	7103
327	3462	7094
328	3472	7081
329	3484	7075
330	3494	7062
331	3502	7047
332	3512	7036
333	3529	7038
334	3541	7030
335	3559	7035
336	3573	7030
337	3585	7022
338	3594	7009
339	3607	7003
340	3619	6995
341	3632	6988
342	3640	6972
343	3651	6963
344	3663	6954
345	3675	6946
346	3683	6931
347	3693	6919
348	3705	6912
349	3714	6897
350	3725	6888
351	3735	6877
352	3743	6861
353	3752	6848
354	3761	6834
355	3773	6826
356	3782	6813
357	3793	6803
358	3802	6789
359	3812	6777
360	3824	6770
361	3834	6757
362	3844	6745
363	3854	6734
364	3863	6721
365	3872	6707
366	3881	6695
367	3890	6681
368	3905	6678
369	3916	6667
370	3926	6656
371	3936	6645
372	3944	6631
373	3954	6619
374	3964	6607
375	3976	6599
376	3989	6592
377	4002	6585
378	4013	6576
379	4023	6564
380	4034	6554
381	4043	6541
382	4054	6531
383	4063	6518
384	4073	6507
385	4084	6497
386	4105	6503
387	4118	6496
388	4132	6490
389	4147	6486
390	4171	6496
391	4185	6491
392	4195	6479
393	4207	6471
394	4219	6463
395	4228	6450
396	4238	6437
397	4251	6431
398	4267	6428
399	4282	6423
400	4294	6415
401	4305	6404
402	4314	6391
403	4327	6383
404	4339	6375
405	4350	6365
406	4363	6356
407	4374	6347
408	4386	6338
409	4399	6331
410	4411	6321
411	4428	6319
412	4439	6309
413	4453	6304
414	4468	6299
415	4486	6298
416	4507	6302
417	4523	6298
418	4538	6293
419	4550	6284
420	4565	6279
421	4577	6269
422	4589	6259
423	4608	6260
424	4622	6253
425	4638	6250
426	4655	6247
427	4670	6241
428	4683	6233
429	4694	6223
430	4706	6213
431	4718	6204
432	4730	6195
433	4743	6185
434	4758	6180
435	4770	6170
436	4782	6161
437	4794	6151
438	4807	6143
439	4821	6136
440	4832	6125
441	4841	6111
442	4851	6100
443	4863	6090
444	4875	6080
445	4885	6068
446	4895	6056
447	4908	6048
448	4917	6034
449	4929	6025
450	4941	6015
451	4956	6009
452	4965	5996
453	4976	5985
454	4989	5976
455	4999	5964
456	5012	5955
457	5028	5950
458	5040	5941
459	5052	5930
460	5063	5920
461	5095	5934
462	5155	5979
463	5208	6016
464	5259	6051
465	5275	6045
466	5287	6034
467	5300	6025
468	5312	6014
469	5327	6007
470	5339	5996
471	5350	5985
472	5375	5989
473	5391	5983
474	5410	5980
475	5423	5970
476	5436	5961
477	5451	5952
478	5464	5944
479	5476	5932
480	5492	5926
481	5504	5915
482	5517	5906
483	5526	5891
484	5537	5879
